,Unnamed: 0,title,author,genre,platform,story,rate,keywords
261,261,에이머휴재,구동인,"스토리, 판타지",네이버 웹툰,"작은 우연은 역사를 만든다.
지구를 침공한 이성인 팜킨 일당과, 그들을 막아선 초월자 에이머와 지구인의 이야기!",9.79,"['성인', '에이', '이야기', '지구', '지구인']"
262,262,속삭이는,최경아,"스토리, 로맨스",네이버 웹툰,불면증에 걸린 남자와 책만 읽으면 모두를 잠들게하는 여자가 만났다.,9.87,"['남자', '모두', '불면증', '여자']"
263,263,마음의,고아라,"스토리, 감성",네이버 웹툰,"13년 전 사라진 나의 첫사랑,
흡혈귀가 되어 돌아왔다",9.98,"['첫사랑', '흡혈귀']"
264,264,이제,이원식 / 꿀찬,"스토리, 드라마",네이버 웹툰,"아무래도 이번 생은 실패다.
죽음과 함께 시작된 13번의 새로운 삶",9.66,"['번의', '시작', '실패', '이번', '죽음']"
265,265,방,고요,"스토리, 로맨스",네이버 웹툰,"8년째 친구인 짝사랑남 VS. 날 좋아하는 연하남  
한여름의 두 사랑 로맨스!",9.97,"['로맨스', '사랑', '여름', '연하', '짝사랑']"
266,266,밀웜,쿼시,"스토리, 드라마",네이버 웹툰,"먹이사슬 맨 밑바닥의 소년,
먹이를 주다.",9.86,"['먹이', '밑바닥', '사슬', '소년']"
267,267,빙탕후루,장희 / 주호민,"에피소드, 판타지",네이버 웹툰,"&lt;신과 함께&gt; 주호민 작가의 신작! 
잔인하고 무자비한 환상 속 요괴들이 현세를 어지럽히는 중국 송나라
귀안도사와 여연이 팔귀 퇴치의 여정을 떠난다.",9.96,"['작가', '송나라', '신작', '안도', '여정']"
268,268,뚝배기,임성훈,"스토리, 액션",네이버 웹툰,"비리를 척결하고자 했던 강백현은 내부고발자로 찍혀 한직으로 좌천된다.
크게 절망한 주인공 앞에 뺑소니 사고를 당했던 5급 공무원 최용규의 유령이 나타나는데….",8.27,"['결하', '고발', '고자', '내부', '비리']"
269,269,최후의,이주영 / 착,"스토리, 드라마",네이버 웹툰,"직감으로만 요리하는 은둔고수이자 인스턴트 섭취 중독자인 태한!
FM정석 레시피 추구, 데코레이션 강박주의자인 차윤의 티격태격!
맛깔 제대로 나는 스펙터클 푸드 스릴러 한 판!",9.57,"['고수', '요리', '강박', '시피', '은둔']"
270,270,102030,H / JMS,"스토리, 일상",네이버 웹툰,"부딪히고 깨져도, 꿈꾸고 사랑하는 우리들의 초상! 
공감 200% 일상공감시트콤이 온다!",8.96,"['공감', '사랑', '시트콤', '초상', '일상']"
271,271,진정친구,설주,"스토리, 개그",네이버 웹툰,"절대 못생긴 게 아니라 잘생긴 애 옆에 붙어 다녀서 못생겨 보이는 주인공 '안경태'
친구의 여자친구만 좋아하는 잘생긴 변태 '훈'
뭘 하든 도가 지나친 '조지세'
진짜 정으로 만나는 이상한 친구들의 유쾌한 리얼 코미디!",9.81,"['조지', '리얼', '변태', '안경', '여자친구']"
272,272,살의,길연,"스토리, 스릴러",네이버 웹툰,"2016년, 타인의 '살의'를 조종하여 살인을 저지르게 만드는 미치광이 '살인설계자'에 대한 소문이 무성하다. 
급기야 경찰에서는 '살인설계자 전담반'까지 만들어 그를 쫒는 도중, 그의 본 모습을 목격했을 것으로 추정되는 서은영을 찾아 나서는데...",9.71,"['설계자', '살인', '조종', '대한', '타인']"
273,273,우리,폭스바니,"에피소드, 일상",네이버 웹툰,"신입생 엠티에서 환영주를 마시고 강렬한 주사를 부린 탓에 ‘부침개’라는 별명 얻은 주인공 박열.
술에 강해져 오명을 극복하고자 ‘술 동아리’에 들어간 박열은 어마어마한 괴짜 술꾼들과 마주하게 되는데….",9.11,"['술꾼', '신입생', '괴짜', '마주', '부침개']"
